n,a,e,completeness
1,0.5,0,0.493
2,0.5,0,0.529
3,0.5,0,0.542
4,0.5,0,0.55
5,0.5,0,0.555
1,0.6,0,0.521
2,0.6,0,0.551
3,0.6,0,0.565
4,0.6,0,0.571
5,0.6,0,0.581
1,0.7,0,0.543
2,0.7,0,0.572
3,0.7,0,0.591
4,0.7,0,0.597
5,0.7,0,0.618
1,0.8,0,0.558
2,0.8,0,0.58
3,0.8,0,0.596
4,0.8,0,0.601
5,0.8,0,0.612
1,0.9,0,0.561
2,0.9,0,0.593
3,0.9,0,0.61
4,0.9,0,0.617
5,0.9,0,0.633
1,1,0,0.576
2,1,0,0.603
3,1,0,0.624
4,1,0,0.63
5,1,0,0.643
1,1.1,0,0.577
2,1.1,0,0.618
3,1.1,0,0.637
4,1.1,0,0.644
5,1.1,0,0.653
1,1.2,0,0.583
2,1.2,0,0.61
3,1.2,0,0.64
4,1.2,0,0.644
5,1.2,0,0.651
1,1.3,0,0.565
2,1.3,0,0.607
3,1.3,0,0.628
4,1.3,0,0.637
5,1.3,0,0.649
1,1.4,0,0.576
2,1.4,0,0.588
3,1.4,0,0.595
4,1.4,0,0.605
5,1.4,0,0.623
